language,layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
fr-FR,2,layer_2,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,2,layer_2,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,3,layer_3,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,3,layer_3,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,3,layer_3,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,3,layer_3,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,3,layer_3,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,4,layer_4,ARG0,0.6078431372549019,0.09090909090909091,1264,51,379,20
fr-FR,4,layer_4,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,4,layer_4,ARG2,0.6274509803921569,0.7654320987654321,1264,51,805,33
fr-FR,4,layer_4,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,4,layer_4,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,5,layer_5,ARG0,0.8235294117647058,0.7567567567567568,1264,51,379,20
fr-FR,5,layer_5,ARG1,0.8823529411764706,0.9361702127659575,1264,51,1060,44
fr-FR,5,layer_5,ARG2,0.6862745098039216,0.7647058823529411,1264,51,805,33
fr-FR,5,layer_5,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,5,layer_5,time,0.9607843137254902,0.5,1264,51,180,3
fr-FR,6,layer_6,ARG0,0.7647058823529411,0.6842105263157895,1264,51,379,20
fr-FR,6,layer_6,ARG1,0.9019607843137255,0.946236559139785,1264,51,1060,44
fr-FR,6,layer_6,ARG2,0.6666666666666666,0.746268656716418,1264,51,805,33
fr-FR,6,layer_6,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,6,layer_6,time,0.9215686274509803,0.0,1264,51,180,3
fr-FR,7,layer_7,ARG0,0.8431372549019608,0.8260869565217391,1264,51,379,20
fr-FR,7,layer_7,ARG1,0.8823529411764706,0.9347826086956522,1264,51,1060,44
fr-FR,7,layer_7,ARG2,0.6862745098039216,0.7575757575757576,1264,51,805,33
fr-FR,7,layer_7,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,7,layer_7,time,0.9607843137254902,0.6666666666666666,1264,51,180,3
fr-FR,8,layer_8,ARG0,0.7647058823529411,0.6842105263157895,1264,51,379,20
fr-FR,8,layer_8,ARG1,0.8235294117647058,0.898876404494382,1264,51,1060,44
fr-FR,8,layer_8,ARG2,0.5882352941176471,0.6557377049180327,1264,51,805,33
fr-FR,8,layer_8,neg,0.9215686274509803,0.0,1264,51,48,3
fr-FR,8,layer_8,time,0.9607843137254902,0.75,1264,51,180,3
fr-FR,9,layer_9,ARG0,0.7254901960784313,0.6956521739130435,1264,51,379,20
fr-FR,9,layer_9,ARG1,0.8627450980392157,0.9213483146067416,1264,51,1060,44
fr-FR,9,layer_9,ARG2,0.6470588235294118,0.7096774193548387,1264,51,805,33
fr-FR,9,layer_9,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,9,layer_9,time,0.9411764705882353,0.6666666666666666,1264,51,180,3
fr-FR,10,layer_10,ARG0,0.7647058823529411,0.7272727272727273,1264,51,379,20
fr-FR,10,layer_10,ARG1,0.8823529411764706,0.9347826086956522,1264,51,1060,44
fr-FR,10,layer_10,ARG2,0.5882352941176471,0.6557377049180327,1264,51,805,33
fr-FR,10,layer_10,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,10,layer_10,time,0.9019607843137255,0.4444444444444444,1264,51,180,3
fr-FR,11,layer_11,ARG0,0.7647058823529411,0.7,1264,51,379,20
fr-FR,11,layer_11,ARG1,0.8823529411764706,0.9361702127659575,1264,51,1060,44
fr-FR,11,layer_11,ARG2,0.5490196078431373,0.6349206349206349,1264,51,805,33
fr-FR,11,layer_11,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,11,layer_11,time,0.9019607843137255,0.5454545454545454,1264,51,180,3
fr-FR,12,layer_12,ARG0,0.8431372549019608,0.8095238095238095,1264,51,379,20
fr-FR,12,layer_12,ARG1,0.9019607843137255,0.946236559139785,1264,51,1060,44
fr-FR,12,layer_12,ARG2,0.5686274509803921,0.6764705882352942,1264,51,805,33
fr-FR,12,layer_12,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,12,layer_12,time,0.9607843137254902,0.75,1264,51,180,3
my-MM,0,embedding,ARG0,0.62,0.0,1263,50,387,19
my-MM,0,embedding,ARG1,0.86,0.9247311827956989,1263,50,1051,43
my-MM,0,embedding,ARG2,0.66,0.7951807228915663,1263,50,810,33
my-MM,0,embedding,neg,0.94,0.0,1263,50,51,3
my-MM,0,embedding,time,0.94,0.0,1263,50,171,3
my-MM,1,layer_1,ARG0,0.68,0.3333333333333333,1263,50,387,19
my-MM,1,layer_1,ARG1,0.86,0.9247311827956989,1263,50,1051,43
my-MM,1,layer_1,ARG2,0.66,0.7951807228915663,1263,50,810,33
my-MM,1,layer_1,neg,0.94,0.0,1263,50,51,3
my-MM,1,layer_1,time,0.94,0.0,1263,50,171,3
my-MM,2,layer_2,ARG0,0.62,0.0,1263,50,387,19
my-MM,2,layer_2,ARG1,0.86,0.9247311827956989,1263,50,1051,43
my-MM,2,layer_2,ARG2,0.66,0.7951807228915663,1263,50,810,33
my-MM,2,layer_2,neg,0.94,0.0,1263,50,51,3
my-MM,2,layer_2,time,0.94,0.0,1263,50,171,3
my-MM,3,layer_3,ARG0,0.62,0.0,1263,50,387,19
my-MM,3,layer_3,ARG1,0.86,0.9247311827956989,1263,50,1051,43
my-MM,3,layer_3,ARG2,0.66,0.7951807228915663,1263,50,810,33
my-MM,3,layer_3,neg,0.94,0.0,1263,50,51,3
my-MM,3,layer_3,time,0.94,0.0,1263,50,171,3
my-MM,4,layer_4,ARG0,0.56,0.42105263157894735,1263,50,387,19
my-MM,4,layer_4,ARG1,0.86,0.9247311827956989,1263,50,1051,43
my-MM,4,layer_4,ARG2,0.66,0.7951807228915663,1263,50,810,33
my-MM,4,layer_4,neg,0.94,0.0,1263,50,51,3
my-MM,4,layer_4,time,0.94,0.0,1263,50,171,3
my-MM,5,layer_5,ARG0,0.42,0.5671641791044776,1263,50,387,19
my-MM,5,layer_5,ARG1,0.86,0.9247311827956989,1263,50,1051,43
my-MM,5,layer_5,ARG2,0.54,0.5818181818181818,1263,50,810,33
my-MM,5,layer_5,neg,0.94,0.0,1263,50,51,3
my-MM,5,layer_5,time,0.92,0.0,1263,50,171,3
my-MM,6,layer_6,ARG0,0.48,0.5806451612903226,1263,50,387,19
my-MM,6,layer_6,ARG1,0.56,0.6666666666666666,1263,50,1051,43
my-MM,6,layer_6,ARG2,0.44,0.391304347826087,1263,50,810,33
my-MM,6,layer_6,neg,0.94,0.0,1263,50,51,3
my-MM,6,layer_6,time,0.72,0.2222222222222222,1263,50,171,3
my-MM,7,layer_7,ARG0,0.46,0.509090909090909,1263,50,387,19
my-MM,7,layer_7,ARG1,0.72,0.8333333333333334,1263,50,1051,43
my-MM,7,layer_7,ARG2,0.58,0.6557377049180327,1263,50,810,33
my-MM,7,layer_7,neg,0.94,0.0,1263,50,51,3
my-MM,7,layer_7,time,0.46,0.12903225806451613,1263,50,171,3
my-MM,8,layer_8,ARG0,0.58,0.4878048780487805,1263,50,387,19
my-MM,8,layer_8,ARG1,0.78,0.8705882352941177,1263,50,1051,43
my-MM,8,layer_8,ARG2,0.56,0.65625,1263,50,810,33
my-MM,8,layer_8,neg,0.94,0.0,1263,50,51,3
my-MM,8,layer_8,time,0.52,0.2,1263,50,171,3
my-MM,9,layer_9,ARG0,0.62,0.5581395348837209,1263,50,387,19
my-MM,9,layer_9,ARG1,0.78,0.8705882352941177,1263,50,1051,43
my-MM,9,layer_9,ARG2,0.56,0.5925925925925926,1263,50,810,33
my-MM,9,layer_9,neg,0.9,0.0,1263,50,51,3
my-MM,9,layer_9,time,0.74,0.23529411764705882,1263,50,171,3
my-MM,10,layer_10,ARG0,0.46,0.5573770491803278,1263,50,387,19
my-MM,10,layer_10,ARG1,0.78,0.8735632183908046,1263,50,1051,43
my-MM,10,layer_10,ARG2,0.58,0.676923076923077,1263,50,810,33
my-MM,10,layer_10,neg,0.9,0.0,1263,50,51,3
my-MM,10,layer_10,time,0.76,0.25,1263,50,171,3
my-MM,11,layer_11,ARG0,0.46,0.5846153846153846,1263,50,387,19
my-MM,11,layer_11,ARG1,0.86,0.9230769230769231,1263,50,1051,43
my-MM,11,layer_11,ARG2,0.56,0.6333333333333333,1263,50,810,33
my-MM,11,layer_11,neg,0.88,0.0,1263,50,51,3
my-MM,11,layer_11,time,0.46,0.18181818181818182,1263,50,171,3
my-MM,12,layer_12,ARG0,0.46,0.5714285714285714,1263,50,387,19
my-MM,12,layer_12,ARG1,0.86,0.9247311827956989,1263,50,1051,43
my-MM,12,layer_12,ARG2,0.62,0.7532467532467533,1263,50,810,33
my-MM,12,layer_12,neg,0.94,0.0,1263,50,51,3
my-MM,12,layer_12,time,0.88,0.25,1263,50,171,3
af-ZA,0,embedding,ARG0,0.62,0.0,1263,50,395,19
af-ZA,0,embedding,ARG1,0.86,0.9247311827956989,1263,50,1066,43
af-ZA,0,embedding,ARG2,0.66,0.7951807228915663,1263,50,817,33
af-ZA,0,embedding,neg,0.94,0.0,1263,50,53,3
af-ZA,0,embedding,time,0.94,0.0,1263,50,176,3
af-ZA,1,layer_1,ARG0,0.64,0.1,1263,50,395,19
af-ZA,1,layer_1,ARG1,0.86,0.9247311827956989,1263,50,1066,43
af-ZA,1,layer_1,ARG2,0.7,0.810126582278481,1263,50,817,33
af-ZA,1,layer_1,neg,0.94,0.0,1263,50,53,3
af-ZA,1,layer_1,time,0.94,0.0,1263,50,176,3
af-ZA,2,layer_2,ARG0,0.62,0.0,1263,50,395,19
af-ZA,2,layer_2,ARG1,0.86,0.9247311827956989,1263,50,1066,43
af-ZA,2,layer_2,ARG2,0.66,0.7951807228915663,1263,50,817,33
af-ZA,2,layer_2,neg,0.94,0.0,1263,50,53,3
af-ZA,2,layer_2,time,0.94,0.0,1263,50,176,3
af-ZA,3,layer_3,ARG0,0.62,0.0,1263,50,395,19
af-ZA,3,layer_3,ARG1,0.86,0.9247311827956989,1263,50,1066,43
af-ZA,3,layer_3,ARG2,0.66,0.7951807228915663,1263,50,817,33
af-ZA,3,layer_3,neg,0.94,0.0,1263,50,53,3
af-ZA,3,layer_3,time,0.94,0.0,1263,50,176,3
af-ZA,4,layer_4,ARG0,0.64,0.1,1263,50,395,19
af-ZA,4,layer_4,ARG1,0.86,0.9247311827956989,1263,50,1066,43
af-ZA,4,layer_4,ARG2,0.66,0.7951807228915663,1263,50,817,33
af-ZA,4,layer_4,neg,0.94,0.0,1263,50,53,3
af-ZA,4,layer_4,time,0.94,0.0,1263,50,176,3
af-ZA,5,layer_5,ARG0,0.72,0.5,1263,50,395,19
af-ZA,5,layer_5,ARG1,0.84,0.9111111111111111,1263,50,1066,43
af-ZA,5,layer_5,ARG2,0.68,0.7647058823529411,1263,50,817,33
af-ZA,5,layer_5,neg,0.94,0.0,1263,50,53,3
af-ZA,5,layer_5,time,0.94,0.4,1263,50,176,3
af-ZA,6,layer_6,ARG0,0.8,0.7058823529411765,1263,50,395,19
af-ZA,6,layer_6,ARG1,0.78,0.8764044943820225,1263,50,1066,43
af-ZA,6,layer_6,ARG2,0.62,0.7246376811594203,1263,50,817,33
af-ZA,6,layer_6,neg,0.94,0.0,1263,50,53,3
af-ZA,6,layer_6,time,0.92,0.5,1263,50,176,3
af-ZA,7,layer_7,ARG0,0.74,0.6285714285714286,1263,50,395,19
af-ZA,7,layer_7,ARG1,0.78,0.8735632183908046,1263,50,1066,43
af-ZA,7,layer_7,ARG2,0.52,0.6129032258064516,1263,50,817,33
af-ZA,7,layer_7,neg,0.94,0.0,1263,50,53,3
af-ZA,7,layer_7,time,0.9,0.2857142857142857,1263,50,176,3
af-ZA,8,layer_8,ARG0,0.74,0.6486486486486487,1263,50,395,19
af-ZA,8,layer_8,ARG1,0.78,0.8705882352941177,1263,50,1066,43
af-ZA,8,layer_8,ARG2,0.6,0.6551724137931034,1263,50,817,33
af-ZA,8,layer_8,neg,0.92,0.0,1263,50,53,3
af-ZA,8,layer_8,time,0.94,0.4,1263,50,176,3
af-ZA,9,layer_9,ARG0,0.78,0.6857142857142857,1263,50,395,19
af-ZA,9,layer_9,ARG1,0.78,0.8735632183908046,1263,50,1066,43
af-ZA,9,layer_9,ARG2,0.64,0.7096774193548387,1263,50,817,33
af-ZA,9,layer_9,neg,0.92,0.0,1263,50,53,3
af-ZA,9,layer_9,time,0.94,0.4,1263,50,176,3
af-ZA,10,layer_10,ARG0,0.72,0.5625,1263,50,395,19
af-ZA,10,layer_10,ARG1,0.78,0.8764044943820225,1263,50,1066,43
af-ZA,10,layer_10,ARG2,0.66,0.7301587301587301,1263,50,817,33
af-ZA,10,layer_10,neg,0.92,0.0,1263,50,53,3
af-ZA,10,layer_10,time,0.94,0.5714285714285714,1263,50,176,3
af-ZA,11,layer_11,ARG0,0.66,0.5142857142857142,1263,50,395,19
af-ZA,11,layer_11,ARG1,0.74,0.8433734939759037,1263,50,1066,43
af-ZA,11,layer_11,ARG2,0.66,0.7213114754098361,1263,50,817,33
af-ZA,11,layer_11,neg,0.94,0.0,1263,50,53,3
af-ZA,11,layer_11,time,0.88,0.25,1263,50,176,3
af-ZA,12,layer_12,ARG0,0.76,0.6,1263,50,395,19
af-ZA,12,layer_12,ARG1,0.86,0.9195402298850575,1263,50,1066,43
af-ZA,12,layer_12,ARG2,0.62,0.6885245901639344,1263,50,817,33
af-ZA,12,layer_12,neg,0.94,0.0,1263,50,53,3
af-ZA,12,layer_12,time,0.9,0.2857142857142857,1263,50,176,3
fa-IR,0,embedding,ARG0,0.62,0.0,1263,50,396,19
fa-IR,0,embedding,ARG1,0.86,0.9247311827956989,1263,50,1050,43
