language,feature,best_layer,best_layer_name,best_accuracy,best_f1
cy-GB,ARG1,5,layer_5,0.88,0.9347826086956522
cy-GB,ARG2,7,layer_7,0.74,0.821917808219178
cy-GB,neg,0,embedding,0.94,0.0
cy-GB,time,0,embedding,0.94,0.0
is-IS,ARG0,8,layer_8,0.86,0.8205128205128205
is-IS,ARG1,12,layer_12,0.9,0.945054945054945
is-IS,ARG2,5,layer_5,0.74,0.8115942028985508
is-IS,neg,0,embedding,0.94,0.0
is-IS,time,0,embedding,0.94,0.0
nl-NL,ARG0,7,layer_7,0.8,0.7222222222222222
nl-NL,ARG1,0,embedding,0.86,0.9247311827956989
nl-NL,ARG2,5,layer_5,0.72,0.8
nl-NL,neg,0,embedding,0.94,0.0
nl-NL,time,6,layer_6,0.96,0.6666666666666666
ja-JP,ARG0,11,layer_11,0.74,0.6976744186046512
ja-JP,ARG1,10,layer_10,0.92,0.9545454545454546
ja-JP,ARG2,1,layer_1,0.7,0.8148148148148148
ja-JP,neg,0,embedding,0.94,0.0
ja-JP,time,12,layer_12,0.96,0.5
sv-SE,ARG0,5,layer_5,0.8,0.6666666666666666
sv-SE,ARG1,12,layer_12,0.92,0.9555555555555556
sv-SE,ARG2,4,layer_4,0.72,0.825
sv-SE,neg,6,layer_6,0.98,0.8
sv-SE,time,0,embedding,0.94,0.0
az-AZ,ARG0,12,layer_12,0.76,0.5384615384615384
az-AZ,ARG1,7,layer_7,0.88,0.926829268292683
az-AZ,ARG2,5,layer_5,0.72,0.8205128205128205
az-AZ,neg,0,embedding,0.94,0.0
az-AZ,time,0,embedding,0.94,0.0
pl-PL,ARG0,5,layer_5,0.78,0.6451612903225806
pl-PL,ARG1,1,layer_1,0.88,0.9347826086956522
pl-PL,ARG2,1,layer_1,0.72,0.825
pl-PL,neg,0,embedding,0.94,0.0
pl-PL,time,7,layer_7,0.96,0.5
tr-TR,ARG0,5,layer_5,0.72,0.6818181818181818
tr-TR,ARG1,5,layer_5,0.88,0.9347826086956522
tr-TR,ARG2,10,layer_10,0.78,0.8450704225352113
tr-TR,neg,0,embedding,0.94,0.0
tr-TR,time,0,embedding,0.94,0.0
ru-RU,ARG0,6,layer_6,0.78,0.7027027027027027
ru-RU,ARG1,5,layer_5,0.88,0.9347826086956522
ru-RU,ARG2,5,layer_5,0.74,0.8266666666666667
ru-RU,neg,0,embedding,0.94,0.0
ru-RU,time,0,embedding,0.94,0.0
ka-GE,ARG0,6,layer_6,0.76,0.6
ka-GE,ARG1,0,embedding,0.86,0.9247311827956989
ka-GE,ARG2,0,embedding,0.66,0.7951807228915663
ka-GE,neg,0,embedding,0.94,0.0
ka-GE,time,0,embedding,0.94,0.0
mn-MN,ARG0,9,layer_9,0.72,0.6111111111111112
mn-MN,ARG1,5,layer_5,0.88,0.9347826086956522
mn-MN,ARG2,10,layer_10,0.74,0.8266666666666667
mn-MN,neg,7,layer_7,0.96,0.75
mn-MN,time,0,embedding,0.94,0.0
de-DE,ARG0,5,layer_5,0.76,0.7272727272727273
de-DE,ARG1,9,layer_9,0.88,0.9347826086956522
de-DE,ARG2,2,layer_2,0.7,0.8148148148148148
de-DE,neg,7,layer_7,0.96,0.5
de-DE,time,5,layer_5,1.0,1.0
da-DK,ARG0,8,layer_8,0.86,0.8
da-DK,ARG1,6,layer_6,0.88,0.9333333333333333
da-DK,ARG2,7,layer_7,0.8,0.84375
da-DK,neg,5,layer_5,0.96,0.5
da-DK,time,6,layer_6,0.98,0.8
ro-RO,ARG0,6,layer_6,0.84,0.7894736842105263
ro-RO,ARG1,5,layer_5,0.88,0.9347826086956522
ro-RO,ARG2,12,layer_12,0.8,0.8529411764705882
ro-RO,neg,0,embedding,0.94,0.0
ro-RO,time,12,layer_12,0.96,0.75
ms-MY,ARG0,12,layer_12,0.8,0.6428571428571429
ms-MY,ARG1,8,layer_8,0.88,0.9347826086956522
ms-MY,ARG2,5,layer_5,0.72,0.8
ms-MY,neg,0,embedding,0.94,0.0
ms-MY,time,8,layer_8,0.98,0.8
it-IT,ARG0,8,layer_8,0.84,0.7647058823529411
it-IT,ARG1,0,embedding,0.86,0.9247311827956989
it-IT,ARG2,2,layer_2,0.7,0.8148148148148148
it-IT,neg,0,embedding,0.94,0.0
it-IT,time,5,layer_5,0.98,0.8
fi-FI,ARG0,8,layer_8,0.74,0.5806451612903226
fi-FI,ARG1,12,layer_12,0.88,0.9347826086956522
fi-FI,ARG2,12,layer_12,0.7,0.8
fi-FI,neg,0,embedding,0.94,0.0
fi-FI,time,11,layer_11,0.96,0.5
zh-CN,ARG0,12,layer_12,0.72,0.6111111111111112
zh-CN,ARG1,5,layer_5,0.88,0.9347826086956522
zh-CN,ARG2,1,layer_1,0.68,0.7894736842105263
zh-CN,neg,11,layer_11,0.96,0.5
zh-CN,time,0,embedding,0.94,0.0
pt-PT,ARG0,8,layer_8,0.92,0.8947368421052632
pt-PT,ARG1,5,layer_5,0.88,0.9347826086956522
pt-PT,ARG2,5,layer_5,0.8,0.8611111111111112
pt-PT,neg,11,layer_11,0.96,0.5
pt-PT,time,8,layer_8,0.98,0.8571428571428571
hy-AM,ARG0,12,layer_12,0.84,0.7894736842105263
hy-AM,ARG1,9,layer_9,0.88,0.9347826086956522
hy-AM,ARG2,4,layer_4,0.7,0.810126582278481
hy-AM,neg,0,embedding,0.94,0.0
hy-AM,time,0,embedding,0.94,0.0
km-KH,ARG0,7,layer_7,0.7,0.34782608695652173
km-KH,ARG1,9,layer_9,0.88,0.9347826086956522
km-KH,ARG2,7,layer_7,0.68,0.8
km-KH,neg,0,embedding,0.94,0.0
km-KH,time,0,embedding,0.94,0.0
