language,layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
fr-FR,1,layer_1,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,1,layer_1,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,2,layer_2,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,2,layer_2,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,2,layer_2,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,2,layer_2,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,2,layer_2,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,3,layer_3,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,3,layer_3,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,3,layer_3,ARG2,0.6666666666666666,0.7848101265822784,1264,51,805,33
fr-FR,3,layer_3,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,3,layer_3,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,4,layer_4,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,4,layer_4,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,4,layer_4,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,4,layer_4,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,4,layer_4,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,5,layer_5,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,5,layer_5,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,5,layer_5,ARG2,0.6470588235294118,0.7804878048780488,1264,51,805,33
fr-FR,5,layer_5,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,5,layer_5,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,6,layer_6,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,6,layer_6,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,6,layer_6,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,6,layer_6,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,6,layer_6,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,7,layer_7,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,7,layer_7,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,7,layer_7,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,7,layer_7,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,7,layer_7,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,8,layer_8,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,8,layer_8,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,8,layer_8,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,8,layer_8,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,8,layer_8,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,9,layer_9,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,9,layer_9,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,9,layer_9,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,9,layer_9,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,9,layer_9,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,10,layer_10,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,10,layer_10,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,10,layer_10,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,10,layer_10,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,10,layer_10,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,11,layer_11,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,11,layer_11,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,11,layer_11,ARG2,0.6470588235294118,0.7857142857142857,1264,51,805,33
fr-FR,11,layer_11,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,11,layer_11,time,0.9411764705882353,0.0,1264,51,180,3
fr-FR,12,layer_12,ARG0,0.6078431372549019,0.0,1264,51,379,20
fr-FR,12,layer_12,ARG1,0.8627450980392157,0.9263157894736842,1264,51,1060,44
fr-FR,12,layer_12,ARG2,0.6470588235294118,0.775,1264,51,805,33
fr-FR,12,layer_12,neg,0.9411764705882353,0.0,1264,51,48,3
fr-FR,12,layer_12,time,0.9411764705882353,0.0,1264,51,180,3
ta-IN,0,embedding,ARG0,0.62,0.0,1263,50,398,19
ta-IN,0,embedding,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,0,embedding,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,0,embedding,neg,0.94,0.0,1263,50,53,3
ta-IN,0,embedding,time,0.94,0.0,1263,50,176,3
ta-IN,1,layer_1,ARG0,0.62,0.0,1263,50,398,19
ta-IN,1,layer_1,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,1,layer_1,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,1,layer_1,neg,0.94,0.0,1263,50,53,3
ta-IN,1,layer_1,time,0.94,0.0,1263,50,176,3
ta-IN,2,layer_2,ARG0,0.62,0.0,1263,50,398,19
ta-IN,2,layer_2,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,2,layer_2,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,2,layer_2,neg,0.94,0.0,1263,50,53,3
ta-IN,2,layer_2,time,0.94,0.0,1263,50,176,3
ta-IN,3,layer_3,ARG0,0.62,0.0,1263,50,398,19
ta-IN,3,layer_3,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,3,layer_3,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,3,layer_3,neg,0.94,0.0,1263,50,53,3
ta-IN,3,layer_3,time,0.94,0.0,1263,50,176,3
ta-IN,4,layer_4,ARG0,0.62,0.0,1263,50,398,19
ta-IN,4,layer_4,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,4,layer_4,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,4,layer_4,neg,0.94,0.0,1263,50,53,3
ta-IN,4,layer_4,time,0.94,0.0,1263,50,176,3
ta-IN,5,layer_5,ARG0,0.62,0.0,1263,50,398,19
ta-IN,5,layer_5,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,5,layer_5,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,5,layer_5,neg,0.94,0.0,1263,50,53,3
ta-IN,5,layer_5,time,0.94,0.0,1263,50,176,3
ta-IN,6,layer_6,ARG0,0.62,0.0,1263,50,398,19
ta-IN,6,layer_6,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,6,layer_6,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,6,layer_6,neg,0.94,0.0,1263,50,53,3
ta-IN,6,layer_6,time,0.94,0.0,1263,50,176,3
ta-IN,7,layer_7,ARG0,0.62,0.0,1263,50,398,19
ta-IN,7,layer_7,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,7,layer_7,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,7,layer_7,neg,0.94,0.0,1263,50,53,3
ta-IN,7,layer_7,time,0.94,0.0,1263,50,176,3
ta-IN,8,layer_8,ARG0,0.62,0.0,1263,50,398,19
ta-IN,8,layer_8,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,8,layer_8,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,8,layer_8,neg,0.94,0.0,1263,50,53,3
ta-IN,8,layer_8,time,0.94,0.0,1263,50,176,3
ta-IN,9,layer_9,ARG0,0.62,0.0,1263,50,398,19
ta-IN,9,layer_9,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,9,layer_9,ARG2,0.68,0.8048780487804879,1263,50,808,33
ta-IN,9,layer_9,neg,0.94,0.0,1263,50,53,3
ta-IN,9,layer_9,time,0.94,0.0,1263,50,176,3
ta-IN,10,layer_10,ARG0,0.62,0.0,1263,50,398,19
ta-IN,10,layer_10,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,10,layer_10,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,10,layer_10,neg,0.94,0.0,1263,50,53,3
ta-IN,10,layer_10,time,0.94,0.0,1263,50,176,3
ta-IN,11,layer_11,ARG0,0.62,0.0,1263,50,398,19
ta-IN,11,layer_11,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,11,layer_11,ARG2,0.66,0.7951807228915663,1263,50,808,33
ta-IN,11,layer_11,neg,0.94,0.0,1263,50,53,3
ta-IN,11,layer_11,time,0.94,0.0,1263,50,176,3
ta-IN,12,layer_12,ARG0,0.66,0.19047619047619047,1263,50,398,19
ta-IN,12,layer_12,ARG1,0.86,0.9247311827956989,1263,50,1064,43
ta-IN,12,layer_12,ARG2,0.72,0.825,1263,50,808,33
ta-IN,12,layer_12,neg,0.94,0.0,1263,50,53,3
ta-IN,12,layer_12,time,0.94,0.0,1263,50,176,3
sq-AL,0,embedding,ARG0,0.62,0.0,1263,50,389,19
sq-AL,0,embedding,ARG1,0.86,0.9247311827956989,1263,50,1050,43
sq-AL,0,embedding,ARG2,0.66,0.7951807228915663,1263,50,800,33
